Complaint ID,Customer ID,Product,Complaint Category,Date Filed,Date Resolved,Status,Resolution Time (Days),Sentiment,Region
807469,43859,Weight Loss Program,Delivery,15-11-2023,05-12-2023 00:00,Resolved,20,Neutral,Kerala
640416,10972,Cloud Storage,Technical Support,30-03-2024,14-04-2024 00:00,Resolved,15,Positive,Goa
300152,52757,Digital Scale,Service,16-09-2023,03-10-2023 00:00,Resolved,17,Neutral,Nagaland
307163,14924,Cloud Storage,Technical Support,01-09-2023,27-09-2023 00:00,Resolved,26,Positive,Manipur
763821,15817,Digital Scale,Product Quality,27-05-2024,Unresolved,Unresolved,0,Neutral,Punjab
569103,74656,Weight Loss Program,Delivery,28-03-2024,12-04-2024 00:00,Resolved,15,Neutral,Rajasthan
177124,38208,Home Security System,Delivery,02-09-2023,29-09-2023 00:00,Resolved,27,Neutral,Delhi
178158,16647,Insurance Plan,Product Quality,24-03-2024,Unresolved,Unresolved,0,Neutral,Sikkim
807802,33971,Home Security System,Delivery,07-01-2024,Unresolved,Unresolved,0,Neutral,Puducherry
838416,18804,Home Security System,Service,25-12-2023,09-01-2024 00:00,Resolved,15,Neutral,Tamil Nadu
945182,77685,Fitness Tracker,Product Quality,15-11-2023,24-11-2023 00:00,Resolved,9,Neutral,West Bengal
788707,21357,Drone Delivery Service,Technical Support,13-11-2023,12-12-2023 00:00,Resolved,29,Positive,Telangana
355701,47102,Home Security System,Product Quality,25-04-2024,25-05-2024 00:00,Resolved,30,Neutral,Lakshadweep
977109,99546,Mobile Banking App,Technical Support,24-02-2024,10-03-2024 00:00,Resolved,15,Positive,Tripura
417231,27411,Drone Delivery Service,Technical Support,13-06-2024,19-06-2024 00:00,Resolved,6,Positive,Delhi
941434,21281,Drone Delivery Service,Delivery,31-03-2024,28-04-2024 00:00,Resolved,28,Neutral,Uttar Pradesh
939442,57326,Cloud Storage,Delivery,08-10-2023,27-10-2023 00:00,Resolved,19,Neutral,Jammu and Kashmir
204240,46312,Weight Loss Program,Technical Support,04-08-2024,Unresolved,Unresolved,0,Positive,Uttarakhand
547957,56151,Home Security System,Product Quality,25-10-2023,03-11-2023 00:00,Resolved,9,Neutral,Dadra and Nagar Haveli and Daman and Diu
929717,50894,Drone Delivery Service,Service,19-06-2024,05-07-2024 00:00,Resolved,16,Neutral,West Bengal
829761,68556,Weight Loss Program,Billing,23-09-2023,Unresolved,Unresolved,0,Neutral,Puducherry
205113,41203,Insurance Plan,Billing,21-04-2024,08-05-2024 00:00,Resolved,17,Neutral,Andaman and Nicobar Islands
803752,77452,Drone Delivery Service,Delivery,22-10-2023,10-11-2023 00:00,Resolved,19,Neutral,Ladakh
306606,31514,Drone Delivery Service,Technical Support,26-10-2023,16-11-2023 00:00,Resolved,21,Positive,Chandigarh
656316,44208,Fitness Tracker,Delivery,28-12-2023,10-01-2024 00:00,Resolved,13,Neutral,Tamil Nadu
924492,99060,Cloud Storage,Billing,26-01-2024,29-01-2024 00:00,Resolved,3,Neutral,Dadra and Nagar Haveli and Daman and Diu
458567,61418,Home Security System,Technical Support,28-03-2024,16-04-2024 00:00,Resolved,19,Positive,Tripura
101800,98150,Cloud Storage,Technical Support,14-02-2024,15-02-2024 00:00,Resolved,1,Positive,Lakshadweep
221503,57392,Weight Loss Program,Billing,14-10-2023,22-10-2023 00:00,Resolved,8,Neutral,Himachal Pradesh
105883,20380,Mobile Banking App,Billing,22-07-2024,08-08-2024 00:00,Resolved,17,Neutral,Karnataka
567350,37042,Weight Loss Program,Technical Support,08-08-2024,29-08-2024 00:00,Resolved,21,Positive,Odisha
150874,22434,Digital Scale,Billing,24-10-2023,18-11-2023 00:00,Resolved,25,Neutral,Kerala
316308,55683,Cloud Storage,Technical Support,27-05-2024,13-06-2024 00:00,Resolved,17,Positive,Nagaland
875124,30516,Mobile Banking App,Delivery,20-07-2024,28-07-2024 00:00,Resolved,8,Neutral,Madhya Pradesh
220891,56192,Digital Scale,Service,19-08-2024,09-09-2024 00:00,Resolved,21,Neutral,Jharkhand
581088,88636,Insurance Plan,Delivery,30-12-2023,29-01-2024 00:00,Resolved,30,Neutral,Maharashtra
801190,37869,Personal Safe,Service,31-08-2023,01-09-2023 00:00,Resolved,1,Neutral,Kerala
141883,86987,Cloud Storage,Delivery,07-01-2024,08-01-2024 00:00,Resolved,1,Neutral,Manipur
683420,15977,Cloud Storage,Billing,12-08-2024,29-08-2024 00:00,Resolved,17,Neutral,Tamil Nadu
535323,91655,Personal Safe,Product Quality,01-06-2024,19-06-2024 00:00,Resolved,18,Neutral,West Bengal
313860,41852,Digital Scale,Product Quality,10-07-2024,19-07-2024 00:00,Resolved,9,Neutral,Telangana
437988,73520,Personal Safe,Product Quality,22-04-2024,07-05-2024 00:00,Resolved,15,Neutral,Lakshadweep
836401,40636,Drone Delivery Service,Product Quality,23-02-2024,17-03-2024 00:00,Resolved,23,Neutral,Tripura
520057,17883,Cloud Storage,Delivery,27-06-2024,19-07-2024 00:00,Resolved,22,Neutral,Delhi
368858,41248,Fitness Tracker,Billing,09-10-2023,17-10-2023 00:00,Resolved,8,Neutral,Uttar Pradesh
297788,81342,Insurance Plan,Product Quality,13-11-2023,18-11-2023 00:00,Resolved,5,Neutral,Jammu and Kashmir
984296,12737,Home Security System,Product Quality,21-04-2024,08-05-2024 00:00,Resolved,17,Neutral,Uttarakhand
842019,75568,Mobile Banking App,Delivery,16-12-2023,03-01-2024 00:00,Resolved,18,Neutral,Dadra and Nagar Haveli and Daman and Diu
666979,38726,Mobile Banking App,Delivery,07-10-2023,01-11-2023 00:00,Resolved,25,Neutral,West Bengal
999443,99609,Insurance Plan,Service,30-12-2023,31-12-2023 00:00,Resolved,1,Neutral,Puducherry
360650,53544,Personal Safe,Delivery,06-01-2024,10-01-2024 00:00,Resolved,4,Neutral,Andaman and Nicobar Islands
484582,27014,Customer Support Service,Delivery,18-06-2024,29-06-2024 00:00,Resolved,11,Neutral,Ladakh
105044,28833,Digital Scale,Technical Support,28-10-2023,08-11-2023 00:00,Resolved,11,Positive,Chandigarh
458054,76407,Home Security System,Technical Support,07-05-2024,30-05-2024 00:00,Resolved,23,Positive,Tamil Nadu
408128,98642,Drone Delivery Service,Service,06-08-2024,14-08-2024 00:00,Resolved,8,Neutral,Dadra and Nagar Haveli and Daman and Diu
375995,21966,Fitness Tracker,Delivery,28-05-2024,23-06-2024 00:00,Resolved,26,Neutral,Tripura
747731,36941,Customer Support Service,Delivery,05-12-2023,10-12-2023 00:00,Resolved,5,Neutral,Chandigarh
249706,90417,Cloud Storage,Billing,24-08-2024,09-09-2024 00:00,Resolved,16,Neutral,Puducherry
398675,73541,Fitness Tracker,Service,09-05-2024,04-06-2024 00:00,Resolved,26,Neutral,Chhattisgarh
530875,25814,Home Security System,Technical Support,20-06-2024,21-06-2024 00:00,Resolved,1,Positive,Jammu and Kashmir
455681,96786,Digital Scale,Service,11-02-2024,06-03-2024 00:00,Resolved,24,Neutral,Tripura
550561,27234,Personal Safe,Billing,23-08-2024,Unresolved,Unresolved,0,Neutral,Ladakh
269023,92515,Home Security System,Technical Support,15-10-2023,08-11-2023 00:00,Resolved,24,Positive,Meghalaya
518119,89660,Mobile Banking App,Billing,03-03-2024,05-03-2024 00:00,Resolved,2,Neutral,Nagaland
234659,80216,Digital Scale,Technical Support,07-11-2023,29-11-2023 00:00,Resolved,22,Positive,Ladakh
978007,97487,Home Security System,Technical Support,14-07-2024,Unresolved,Unresolved,0,Positive,Goa
899697,17392,Digital Scale,Service,18-01-2024,Unresolved,Unresolved,0,Neutral,Karnataka
314641,70172,Insurance Plan,Billing,24-02-2024,15-03-2024 00:00,Resolved,20,Neutral,Jammu and Kashmir
252701,19135,Cloud Storage,Technical Support,07-12-2023,24-12-2023 00:00,Resolved,17,Positive,Bihar
474337,81779,Insurance Plan,Technical Support,07-09-2023,06-10-2023 00:00,Resolved,29,Positive,Kerala
404704,75844,Customer Support Service,Service,24-10-2023,23-11-2023 00:00,Resolved,30,Neutral,Delhi
570815,44223,Weight Loss Program,Delivery,26-04-2024,23-05-2024 00:00,Resolved,27,Neutral,Maharashtra
276787,32227,Insurance Plan,Service,15-08-2024,16-08-2024 00:00,Resolved,1,Neutral,Uttar Pradesh
565196,88207,Weight Loss Program,Technical Support,28-11-2023,28-12-2023 00:00,Resolved,30,Positive,Tamil Nadu
761368,69805,Drone Delivery Service,Billing,17-11-2023,12-12-2023 00:00,Resolved,25,Neutral,Ladakh
870141,77655,Fitness Tracker,Billing,28-08-2024,04-09-2024 00:00,Resolved,7,Neutral,Uttar Pradesh
258872,65616,Fitness Tracker,Product Quality,09-08-2024,03-09-2024 00:00,Resolved,25,Neutral,Jammu and Kashmir
771579,15935,Cloud Storage,Delivery,01-11-2023,26-11-2023 00:00,Resolved,25,Neutral,Uttarakhand
302840,99705,Personal Safe,Service,07-01-2024,14-01-2024 00:00,Resolved,7,Neutral,Karnataka
849467,76598,Cloud Storage,Delivery,31-12-2023,12-01-2024 00:00,Resolved,12,Neutral,Rajasthan
674619,15567,Digital Scale,Technical Support,13-11-2023,19-11-2023 00:00,Resolved,6,Positive,Meghalaya
748078,29317,Digital Scale,Billing,02-09-2023,13-09-2023 00:00,Resolved,11,Neutral,Assam
870223,74667,Customer Support Service,Technical Support,07-09-2023,11-09-2023 00:00,Resolved,4,Positive,Mizoram
476142,13290,Mobile Banking App,Billing,10-03-2024,01-04-2024 00:00,Resolved,22,Neutral,Bihar
546868,61216,Mobile Banking App,Technical Support,04-03-2024,23-03-2024 00:00,Resolved,19,Positive,Tamil Nadu
660550,14220,Customer Support Service,Service,29-10-2023,Unresolved,Unresolved,0,Neutral,Gujarat
269234,91801,Home Security System,Product Quality,21-08-2024,05-09-2024 00:00,Resolved,15,Neutral,Assam
574858,20950,Weight Loss Program,Service,21-11-2023,04-12-2023 00:00,Resolved,13,Neutral,Haryana
191464,38410,Fitness Tracker,Delivery,03-03-2024,06-03-2024 00:00,Resolved,3,Neutral,Jammu and Kashmir
462822,58596,Mobile Banking App,Service,13-05-2024,14-05-2024 00:00,Resolved,1,Neutral,Jharkhand
740893,27250,Digital Scale,Technical Support,14-02-2024,29-02-2024 00:00,Resolved,15,Positive,Uttar Pradesh
518830,60578,Fitness Tracker,Delivery,05-09-2023,11-09-2023 00:00,Resolved,6,Neutral,Madhya Pradesh
901174,27287,Home Security System,Service,19-04-2024,04-05-2024 00:00,Resolved,15,Neutral,Haryana
759654,67086,Insurance Plan,Service,21-03-2024,23-03-2024 00:00,Resolved,2,Neutral,Punjab
120296,90568,Home Security System,Product Quality,19-06-2024,16-07-2024 00:00,Resolved,27,Neutral,Madhya Pradesh
881606,46007,Weight Loss Program,Technical Support,28-11-2023,Unresolved,Unresolved,0,Positive,West Bengal
820454,94983,Customer Support Service,Service,27-06-2024,27-07-2024 00:00,Resolved,30,Neutral,Karnataka
835159,79896,Digital Scale,Service,20-04-2024,17-05-2024 00:00,Resolved,27,Neutral,Arunachal Pradesh
224321,38274,Insurance Plan,Service,19-07-2024,25-07-2024 00:00,Resolved,6,Neutral,Haryana
215950,86095,Cloud Storage,Service,23-06-2024,07-07-2024 00:00,Resolved,14,Neutral,Himachal Pradesh
880534,88095,Insurance Plan,Service,07-09-2023,30-09-2023 00:00,Resolved,23,Neutral,Assam
684830,90233,Customer Support Service,Product Quality,08-09-2023,19-09-2023 00:00,Resolved,11,Neutral,Mizoram
907428,57740,Mobile Banking App,Product Quality,16-03-2024,Unresolved,Unresolved,0,Neutral,Madhya Pradesh
866887,82811,Customer Support Service,Billing,08-04-2024,21-04-2024 00:00,Resolved,13,Neutral,Nagaland
727332,76515,Fitness Tracker,Product Quality,11-02-2024,23-02-2024 00:00,Resolved,12,Neutral,Meghalaya
454540,27410,Insurance Plan,Billing,26-12-2023,19-01-2024 00:00,Resolved,24,Neutral,Odisha
945445,56172,Digital Scale,Technical Support,05-12-2023,14-12-2023 00:00,Resolved,9,Positive,Maharashtra
320333,47648,Weight Loss Program,Billing,26-02-2024,27-03-2024 00:00,Resolved,30,Neutral,Telangana
173166,19376,Home Security System,Delivery,29-04-2024,01-05-2024 00:00,Resolved,2,Neutral,Tamil Nadu
721026,67140,Fitness Tracker,Product Quality,18-02-2024,29-02-2024 00:00,Resolved,11,Neutral,Chhattisgarh
770666,71141,Personal Safe,Technical Support,01-12-2023,Unresolved,Unresolved,0,Positive,Kerala
446213,62640,Insurance Plan,Technical Support,20-08-2024,25-08-2024 00:00,Resolved,5,Positive,Sikkim
967264,77191,Personal Safe,Billing,19-12-2023,Unresolved,Unresolved,0,Neutral,West Bengal
425118,31087,Digital Scale,Technical Support,20-10-2023,24-10-2023 00:00,Resolved,4,Positive,Tripura
458575,31585,Weight Loss Program,Technical Support,18-03-2024,30-03-2024 00:00,Resolved,12,Positive,Karnataka
551667,87045,Customer Support Service,Technical Support,28-09-2023,05-10-2023 00:00,Resolved,7,Positive,Delhi
114383,80719,Digital Scale,Delivery,08-04-2024,21-04-2024 00:00,Resolved,13,Neutral,Kerala
588979,79292,Digital Scale,Technical Support,02-08-2024,15-08-2024 00:00,Resolved,13,Positive,Lakshadweep
860953,55598,Customer Support Service,Delivery,14-09-2023,24-09-2023 00:00,Resolved,10,Neutral,Tamil Nadu
219716,38266,Mobile Banking App,Service,22-09-2023,09-10-2023 00:00,Resolved,17,Neutral,Puducherry
449468,71202,Customer Support Service,Delivery,17-10-2023,29-10-2023 00:00,Resolved,12,Neutral,Maharashtra
168336,83332,Insurance Plan,Billing,07-03-2024,21-03-2024 00:00,Resolved,14,Neutral,Chandigarh
218300,63657,Home Security System,Billing,12-12-2023,26-12-2023 00:00,Resolved,14,Neutral,Rajasthan
528218,94001,Weight Loss Program,Technical Support,23-05-2024,20-06-2024 00:00,Resolved,28,Positive,Daman and Diu
331080,58785,Cloud Storage,Service,20-06-2024,17-07-2024 00:00,Resolved,27,Neutral,Bihar
644340,75016,Personal Safe,Technical Support,26-05-2024,Unresolved,Unresolved,0,Positive,Dadra and Nagar Haveli
536509,81051,Personal Safe,Billing,12-06-2024,Unresolved,Unresolved,0,Neutral,Delhi
941984,62041,Insurance Plan,Technical Support,20-10-2023,24-10-2023 00:00,Resolved,4,Positive,Ladakh
330045,73569,Drone Delivery Service,Technical Support,24-06-2024,Unresolved,Unresolved,0,Positive,Uttar Pradesh
714952,60210,Personal Safe,Billing,10-11-2023,13-11-2023 00:00,Resolved,3,Neutral,Jammu and Kashmir
935185,46214,Cloud Storage,Service,18-09-2023,Unresolved,Unresolved,0,Neutral,Daman and Diu
654160,58021,Mobile Banking App,Service,21-04-2024,Unresolved,Unresolved,0,Neutral,Kerala
553922,32251,Digital Scale,Product Quality,11-07-2024,Unresolved,Unresolved,0,Neutral,Madhya Pradesh
380292,86383,Insurance Plan,Product Quality,22-11-2023,22-12-2023 00:00,Resolved,30,Neutral,Tamil Nadu
430173,90628,Fitness Tracker,Product Quality,05-12-2023,Unresolved,Unresolved,0,Neutral,Sikkim
705211,53708,Fitness Tracker,Billing,23-06-2024,21-07-2024 00:00,Resolved,28,Neutral,Uttar Pradesh
876783,31412,Insurance Plan,Delivery,14-04-2024,19-04-2024 00:00,Resolved,5,Neutral,Goa
665489,70018,Insurance Plan,Technical Support,08-03-2024,Unresolved,Unresolved,0,Positive,Maharashtra
239319,57442,Home Security System,Technical Support,12-10-2023,06-11-2023 00:00,Resolved,25,Positive,Kerala
633605,24356,Insurance Plan,Delivery,10-11-2023,16-11-2023 00:00,Resolved,6,Neutral,Gujarat
999237,20752,Digital Scale,Technical Support,30-11-2023,19-12-2023 00:00,Resolved,19,Positive,Goa
689537,71038,Fitness Tracker,Technical Support,22-06-2024,Unresolved,Unresolved,0,Positive,Rajasthan
475532,83829,Cloud Storage,Technical Support,12-04-2024,04-05-2024 00:00,Resolved,22,Positive,Punjab
552393,32432,Fitness Tracker,Service,25-05-2024,Unresolved,Unresolved,0,Neutral,Assam
352770,24756,Drone Delivery Service,Billing,26-08-2024,22-09-2024 00:00,Resolved,27,Neutral,Haryana
952120,62035,Personal Safe,Billing,24-05-2024,30-05-2024 00:00,Resolved,6,Neutral,Odisha
422626,43954,Drone Delivery Service,Billing,03-08-2024,02-09-2024 00:00,Resolved,30,Neutral,Bihar
473043,86305,Personal Safe,Service,21-01-2024,28-01-2024 00:00,Resolved,7,Neutral,Chhattisgarh
225104,34579,Cloud Storage,Technical Support,29-05-2024,30-05-2024 00:00,Resolved,1,Positive,Jharkhand
277299,58197,Fitness Tracker,Product Quality,12-07-2024,Unresolved,Unresolved,0,Neutral,Telangana
755950,64383,Fitness Tracker,Product Quality,19-09-2023,28-09-2023 00:00,Resolved,9,Neutral,Maharashtra
517509,28311,Fitness Tracker,Service,14-04-2024,22-04-2024 00:00,Resolved,8,Neutral,West Bengal
427217,84728,Weight Loss Program,Product Quality,23-06-2024,12-07-2024 00:00,Resolved,19,Neutral,Rajasthan
884788,80325,Drone Delivery Service,Billing,06-05-2024,18-05-2024 00:00,Resolved,12,Neutral,Haryana
986890,34753,Home Security System,Billing,03-02-2024,13-02-2024 00:00,Resolved,10,Neutral,Gujarat
125665,20271,Digital Scale,Service,20-05-2024,19-06-2024 00:00,Resolved,30,Neutral,Madhya Pradesh
250166,66288,Mobile Banking App,Delivery,06-02-2024,Unresolved,Unresolved,0,Neutral,Mizoram
616977,30737,Customer Support Service,Service,15-05-2024,05-06-2024 00:00,Resolved,21,Neutral,Himachal Pradesh
714723,44222,Insurance Plan,Delivery,05-03-2024,02-04-2024 00:00,Resolved,28,Neutral,Assam
601226,43695,Customer Support Service,Service,20-11-2023,Unresolved,Unresolved,0,Neutral,Meghalaya
906429,42784,Mobile Banking App,Service,21-08-2024,Unresolved,Unresolved,0,Neutral,Arunachal Pradesh
771947,64120,Fitness Tracker,Service,17-04-2024,Unresolved,Unresolved,0,Neutral,Manipur
925953,94854,Mobile Banking App,Service,09-06-2024,23-06-2024 00:00,Resolved,14,Neutral,Andhra Pradesh
402395,14122,Customer Support Service,Technical Support,03-11-2023,28-11-2023 00:00,Resolved,25,Positive,Goa
141211,11364,Customer Support Service,Service,29-07-2024,27-08-2024 00:00,Resolved,29,Neutral,Karnataka
801716,84451,Insurance Plan,Product Quality,25-02-2024,20-03-2024 00:00,Resolved,24,Neutral,Jharkhand
873653,24518,Personal Safe,Delivery,28-03-2024,07-04-2024 00:00,Resolved,10,Neutral,Daman and Diu
909760,21396,Cloud Storage,Billing,18-08-2024,19-08-2024 00:00,Resolved,1,Neutral,Nagaland
134121,96559,Home Security System,Delivery,08-06-2024,30-06-2024 00:00,Resolved,22,Neutral,Manipur
867185,44083,Drone Delivery Service,Product Quality,14-12-2023,08-01-2024 00:00,Resolved,25,Neutral,Punjab
106948,37145,Personal Safe,Product Quality,12-04-2024,23-04-2024 00:00,Resolved,11,Neutral,Rajasthan
103547,65438,Drone Delivery Service,Technical Support,25-08-2024,01-09-2024 00:00,Resolved,7,Positive,Delhi
746100,11271,Home Security System,Billing,11-11-2023,21-11-2023 00:00,Resolved,10,Neutral,Sikkim
440221,45881,Drone Delivery Service,Product Quality,18-06-2024,14-07-2024 00:00,Resolved,26,Neutral,Puducherry
353218,28674,Fitness Tracker,Delivery,03-03-2024,10-03-2024 00:00,Resolved,7,Neutral,Tamil Nadu
462539,78721,Weight Loss Program,Product Quality,27-09-2023,15-10-2023 00:00,Resolved,18,Neutral,West Bengal
947762,42734,Weight Loss Program,Service,05-05-2024,28-05-2024 00:00,Resolved,23,Neutral,Telangana
184533,76280,Mobile Banking App,Delivery,15-11-2023,15-12-2023 00:00,Resolved,30,Neutral,Lakshadweep
790793,94533,Fitness Tracker,Service,26-01-2024,Unresolved,Unresolved,0,Neutral,Tripura
534276,79131,Home Security System,Service,30-08-2023,10-09-2023 00:00,Resolved,11,Neutral,Delhi
151886,58714,Fitness Tracker,Product Quality,16-05-2024,Unresolved,Unresolved,0,Neutral,Uttar Pradesh
695468,37031,Home Security System,Delivery,16-09-2023,04-10-2023 00:00,Resolved,18,Neutral,Jammu and Kashmir
160674,35151,Digital Scale,Service,26-08-2024,14-09-2024 00:00,Resolved,19,Neutral,Uttarakhand
353033,76838,Digital Scale,Product Quality,08-11-2023,26-11-2023 00:00,Resolved,18,Neutral,Dadra and Nagar Haveli and Daman and Diu
928591,59747,Insurance Plan,Product Quality,21-07-2024,19-08-2024 00:00,Resolved,29,Neutral,West Bengal
426143,94332,Cloud Storage,Billing,23-07-2024,16-08-2024 00:00,Resolved,24,Neutral,Puducherry
632542,35521,Customer Support Service,Delivery,30-04-2024,07-05-2024 00:00,Resolved,7,Neutral,Andaman and Nicobar Islands
115182,36738,Digital Scale,Product Quality,20-05-2024,Unresolved,Unresolved,0,Neutral,Ladakh
420768,24964,Weight Loss Program,Billing,24-05-2024,28-05-2024 00:00,Resolved,4,Neutral,Chandigarh
663456,69588,Digital Scale,Product Quality,21-08-2024,31-08-2024 00:00,Resolved,10,Neutral,Tamil Nadu
438282,82407,Cloud Storage,Delivery,29-10-2023,06-11-2023 00:00,Resolved,8,Neutral,Dadra and Nagar Haveli and Daman and Diu
226323,74115,Fitness Tracker,Product Quality,10-09-2023,14-09-2023 00:00,Resolved,4,Neutral,Tripura
367443,95395,Insurance Plan,Delivery,11-04-2024,15-04-2024 00:00,Resolved,4,Neutral,Lakshadweep
746198,25033,Customer Support Service,Technical Support,16-06-2024,02-07-2024 00:00,Resolved,16,Positive,Himachal Pradesh
854711,64417,Fitness Tracker,Billing,10-06-2024,15-06-2024 00:00,Resolved,5,Neutral,Karnataka
439060,79278,Personal Safe,Delivery,25-05-2024,30-05-2024 00:00,Resolved,5,Neutral,Odisha
733662,43980,Weight Loss Program,Service,25-08-2024,26-08-2024 00:00,Resolved,1,Neutral,Kerala
608065,34098,Fitness Tracker,Technical Support,28-07-2024,11-08-2024 00:00,Resolved,14,Positive,Nagaland
880266,46837,Fitness Tracker,Product Quality,10-11-2023,14-11-2023 00:00,Resolved,4,Neutral,Madhya Pradesh
908123,24553,Drone Delivery Service,Billing,26-12-2023,20-01-2024 00:00,Resolved,25,Neutral,Jharkhand
883721,22727,Drone Delivery Service,Technical Support,12-03-2024,08-04-2024 00:00,Resolved,27,Positive,Maharashtra
271006,44671,Weight Loss Program,Technical Support,04-07-2024,17-07-2024 00:00,Resolved,13,Positive,Kerala
660439,65565,Personal Safe,Technical Support,27-04-2024,Unresolved,Unresolved,0,Positive,Manipur
463800,40263,Fitness Tracker,Billing,03-04-2024,28-04-2024 00:00,Resolved,25,Neutral,Ladakh
784440,29476,Fitness Tracker,Service,11-07-2024,Unresolved,Unresolved,0,Neutral,Meghalaya
510139,94811,Customer Support Service,Technical Support,14-05-2024,Unresolved,Unresolved,0,Positive,Delhi
383694,48287,Mobile Banking App,Billing,12-02-2024,07-03-2024 00:00,Resolved,24,Neutral,Mizoram
827207,87779,Home Security System,Delivery,09-07-2024,12-07-2024 00:00,Resolved,3,Neutral,Daman and Diu
794155,23771,Digital Scale,Delivery,12-03-2024,22-03-2024 00:00,Resolved,10,Neutral,Nagaland
797958,12791,Insurance Plan,Product Quality,12-01-2024,22-01-2024 00:00,Resolved,10,Neutral,Goa
755067,15476,Customer Support Service,Service,03-02-2024,24-02-2024 00:00,Resolved,21,Neutral,Odisha
556795,69784,Home Security System,Billing,11-08-2024,21-08-2024 00:00,Resolved,10,Neutral,Maharashtra
809642,36663,Insurance Plan,Billing,30-05-2024,14-06-2024 00:00,Resolved,15,Neutral,Punjab
379985,82967,Personal Safe,Service,26-02-2024,Unresolved,Unresolved,0,Neutral,Madhya Pradesh
572311,28049,Insurance Plan,Delivery,26-09-2023,22-10-2023 00:00,Resolved,26,Neutral,Rajasthan
154744,78900,Cloud Storage,Billing,04-03-2024,Unresolved,Unresolved,0,Neutral,Delhi
394967,39054,Fitness Tracker,Billing,13-10-2023,15-10-2023 00:00,Resolved,2,Neutral,Sikkim
429152,43962,Cloud Storage,Billing,10-03-2024,26-03-2024 00:00,Resolved,16,Neutral,Puducherry
637181,76589,Weight Loss Program,Technical Support,10-12-2023,31-12-2023 00:00,Resolved,21,Positive,Tamil Nadu
397050,53160,Insurance Plan,Billing,28-01-2024,17-02-2024 00:00,Resolved,20,Neutral,West Bengal
564321,79747,Digital Scale,Billing,25-11-2023,24-12-2023 00:00,Resolved,29,Neutral,Telangana
755368,96940,Fitness Tracker,Billing,26-04-2024,01-05-2024 00:00,Resolved,5,Neutral,Lakshadweep
556052,99837,Personal Safe,Service,28-12-2023,Unresolved,Unresolved,0,Neutral,Tripura
380341,37136,Personal Safe,Delivery,13-10-2023,24-10-2023 00:00,Resolved,11,Neutral,Delhi
491527,92858,Drone Delivery Service,Product Quality,12-03-2024,09-04-2024 00:00,Resolved,28,Neutral,Uttar Pradesh
470680,91571,Home Security System,Delivery,01-10-2023,09-10-2023 00:00,Resolved,8,Neutral,Jammu and Kashmir
901091,33770,Fitness Tracker,Technical Support,03-06-2024,17-06-2024 00:00,Resolved,14,Positive,Uttarakhand
285211,74672,Digital Scale,Service,15-10-2023,19-10-2023 00:00,Resolved,4,Neutral,Dadra and Nagar Haveli and Daman and Diu
570324,22263,Mobile Banking App,Technical Support,20-03-2024,09-04-2024 00:00,Resolved,20,Positive,West Bengal
854472,97923,Mobile Banking App,Billing,12-01-2024,Unresolved,Unresolved,0,Neutral,Puducherry
652824,19845,Digital Scale,Product Quality,10-05-2024,13-05-2024 00:00,Resolved,3,Neutral,Andaman and Nicobar Islands
947505,44859,Weight Loss Program,Product Quality,12-12-2023,26-12-2023 00:00,Resolved,14,Neutral,Ladakh
